Address,Size,Function,stack,name
0x000000000001a0e0,120,<x86_64::structures::paging::mapper::MapToError as core::fmt::Debug>::fmt::h5a7aaed5f5d4f8b4,,
0x000000000001a230,120,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::next_table_mut::h36b1b89fab3ea31e,,
0x000000000001e750,120,linked_list_allocator::hole::HoleList::allocate_first_fit::h970d66a4431a79a7,,
0x0000000000009e20,104,core::alloc::Layout::for_value::hd30057ba3fe60214,,
0x000000000000bcb0,104,core::iter::traits::iterator::Iterator::nth::hfe27af79087688db,,
0x000000000000c2f0,104,core::option::Option<T>::map::hcbde07276b78d9c7,,
0x000000000000e1e0,104,core::sync::atomic::AtomicUsize::compare_and_swap::haa9cc5ba390503e9,,
0x0000000000010190,104,blog_os::vga_buffer::_print::{{closure}}::h7b08c3e85a45f372,,
0x0000000000011380,104,blog_os::vga_buffer::Writer::write_string::he740bef299695569,,
0x0000000000012800,104,core::slice::<impl [T]>::iter::hab1f714b989aace4,,
0x0000000000012b10,104,core::slice::<impl [T]>::iter::h009f33cd4bb0abd8,,
0x0000000000017860,104,core::slice::<impl [T]>::iter::ha0fe1441655db001,,
0x0000000000018c50,104,core::slice::<impl [T]>::iter_mut::hdf1f49a0ee8ddcc8,,
0x000000000001b720,104,x86_64::structures::gdt::GlobalDescriptorTable::new::h27ace8be81cc87a9,,
0x000000000001e680,104,linked_list_allocator::hole::HoleList::new::h29965060f5730d00,,
0x0000000000009980,96,<core::cmp::Ordering as core::cmp::PartialEq>::eq::h3ab195122dd35f9c,,
0x0000000000004630,88,<alloc::rc::Rc<T> as core::ops::drop::Drop>::drop::h5df58616abe826a7,,
0x0000000000004990,88,core::intrinsics::overlaps::haf235173312d6e81,,
0x0000000000004a40,88,<x86_64::structures::paging::mapper::offset_page_table::OffsetPageTable as x86_64::structures::paging::mapper::Mapper<x86_64::structures::paging::page::Size4KiB>>::map_to::hcb6a203a6ec904b5,,
0x0000000000004d50,88,core::alloc::Layout::from_size_align::h53815371aef3eaa1,,
0x0000000000006700,88,<x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P> as x86_64::structures::paging::mapper::Mapper<x86_64::structures::paging::page::Size4KiB>>::map_to::hdafb3782f8942f45,,
0x0000000000007b70,88,<x86_64::structures::paging::page::Page<S> as core::ops::arith::Add<u64>>::add::h28ff7599f34be6d6,,
