address,Size,Function,,
0x00000000000067f0,8,<x86_64::structures::paging::page_table::PageTable as core::ops::index::IndexMut<ux::u9>>::index_mut::hbae9d389611fd97b,,
0x0000000000007070,8,x86_64::structures::idt::EntryOptions::set_stack_index::h55f3342fa49b748e,,
0x00000000000071e0,8,"x86_64::structures::idt::Entry<extern ""x86.interrupt"" fn(&mut x86_64::structures::idt::InterruptStackFrame)>::set_handler_fn::h416f5ea711cbd926",,
0x0000000000007530,8,x86_64::structures::gdt::GlobalDescriptorTable::add_entry::hfe38de7d1ab08be0,,
0x0000000000007870,8,<x86_64::addr::VirtAddr as core::ops::arith::Sub<u64>>::sub::h2de2d0ccf51c3a93,,
0x00000000000079c0,8,x86_64::addr::align_down::hc399b40f66eb0621,,
0x0000000000007ab0,8,<u16 as bit_field::BitField>::set_bits::h0266ec7a682e27a4,,
0x0000000000007b50,8,<u64 as bit_field::BitField>::get_bits::haa1d1416fa3e7f0e,,
0x0000000000007bb0,8,<u64 as bit_field::BitField>::set_bits::ha9594f3e54480c4c,,
0x0000000000007c40,8,<u16 as bit_field::BitField>::set_bit::hdebe56cd895e9584,,
0x0000000000007c80,8,<u64 as bit_field::BitField>::get_bit::h0505fc77ef7f2b3d,,
0x0000000000007cc0,8,ux::u9::new::h23764f54bab0b91b,,
0x0000000000002910,0,core::ptr::real_drop_in_place::hfdb549ce95f75cda,,
0x0000000000002950,0,<alloc::rc::Rc<T> as core::clone::Clone>::clone::h2e78ab0cf135c77e,,
0x0000000000002fd0,0,<&T as core::fmt::Display>::fmt::h0d6f7a6691e0d564,,
0x0000000000003290,0,<&T as core::fmt::Display>::fmt::hd859a8abd0481faf,,
0x0000000000003510,0,__rust_alloc,,
0x0000000000003520,0,__rust_dealloc,,
0x0000000000003530,0,__rust_realloc,,
0x0000000000003540,0,core::ptr::real_drop_in_place::hc58c9a0a76d3d45c,,
0x0000000000003920,0,blog_os::vga_buffer::_print::h7f34e62a6015a048,,
0x0000000000003930,0,core::ptr::real_drop_in_place::ha603bde5b1f6e700,,
0x00000000000046f0,0,<&mut T as core::fmt::Debug>::fmt::hc637618bdb8cf4fe,,
0x0000000000004780,0,blog_os::hlt_loop::h9124eea1eb422324,,
0x0000000000004800,0,__rg_alloc,,
0x0000000000004820,0,__rg_dealloc,,
0x00000000000049e0,0,blog_os::memory::BootInfoFrameAllocator::init::h3b5e472864993710,,
0x0000000000004ce0,0,bootloader::bootinfo::memory_map::FrameRange::start_addr::ha52b456c8f2fed00,,
0x0000000000004cf0,0,bootloader::bootinfo::memory_map::FrameRange::end_addr::h64f89a955fa6f12b,,
0x0000000000004d00,0,pc_keyboard::ConsumeState::extract_state::h3c792932d573bccb,,
0x0000000000004d10,0,pc_keyboard::KeyEvent::new::h847fe4ecfec09ada,,
0x00000000000056f0,0,<pc_keyboard::layouts::Us104Key as pc_keyboard::KeyboardLayout>::map_keycode::h086cfe4634489f57,,
0x00000000000060d0,0,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::advance_state::h82edcb4ab16e1946,,
0x00000000000065f0,0,<u8 as cpuio::InOut>::port_in::h619050a08e0a463e,,
0x0000000000006600,0,<u8 as cpuio::InOut>::port_out::h417a21e0281154cf,,
0x0000000000006610,0,x86_64::structures::paging::page_table::PageTableEntry::is_unused::h96b68d9fd1ce1125,,
0x00000000000067b0,0,x86_64::structures::paging::page_table::PageTable::zero::h708e905e36120fe3,,
0x0000000000006870,0,x86_64::structures::paging::mapper::offset_page_table::OffsetPageTable::new::h756f40845789b2fb,,
0x0000000000006880,0,<x86_64::structures::paging::mapper::offset_page_table::PhysOffset as x86_64::structures::paging::mapper::mapped_page_table::PhysToVirt>::phys_to_virt::hf0b739d1b7f1fefa,,
0x0000000000006890,0,x86_64::instructions::interrupts::are_enabled::h115b28ac8cdaf8d0,,
