Address,Size,Function,stack,name
0x0000000000006720,8,<x86_64::structures::paging::page_table::PageTable as core::ops::index::IndexMut<ux::u9>>::index_mut::hbae9d389611fd97b,,
0x0000000000006b10,8,x86_64::structures::idt::EntryOptions::set_stack_index::h55f3342fa49b748e,,
0x0000000000006c80,8,"x86_64::structures::idt::Entry<extern ""x86.interrupt"" fn(&mut x86_64::structures::idt::InterruptStackFrame)>::set_handler_fn::h416f5ea711cbd926",,
0x0000000000006fd0,8,x86_64::structures::gdt::GlobalDescriptorTable::add_entry::hfe38de7d1ab08be0,,
0x0000000000007310,8,<x86_64::addr::VirtAddr as core::ops::arith::Sub<u64>>::sub::h2de2d0ccf51c3a93,,
0x0000000000007460,8,x86_64::addr::align_down::hc399b40f66eb0621,,
0x0000000000007550,8,<u16 as bit_field::BitField>::set_bits::h0266ec7a682e27a4,,
0x00000000000075f0,8,<u64 as bit_field::BitField>::get_bits::haa1d1416fa3e7f0e,,
0x0000000000007650,8,<u64 as bit_field::BitField>::set_bits::ha9594f3e54480c4c,,
0x00000000000076e0,8,<u16 as bit_field::BitField>::set_bit::hdebe56cd895e9584,,
0x0000000000007720,8,<u64 as bit_field::BitField>::get_bit::h0505fc77ef7f2b3d,,
0x0000000000007760,8,ux::u9::new::h23764f54bab0b91b,,
0x0000000000002900,0,core::ptr::real_drop_in_place::hea21aece964c5a7f,,
0x0000000000002940,0,<alloc::rc::Rc<T> as core::clone::Clone>::clone::hb0a5ff32f25b6650,,
0x0000000000002fc0,0,<&T as core::fmt::Display>::fmt::ha9ec98936ddbf032,,
0x0000000000003280,0,<&T as core::fmt::Display>::fmt::h051b80481fe75103,,
0x0000000000003500,0,__rust_alloc,,
0x0000000000003510,0,__rust_dealloc,,
0x0000000000003520,0,__rust_realloc,,
0x0000000000003530,0,core::ptr::real_drop_in_place::h2559697ace239ac1,,
0x0000000000003910,0,blog_os::vga_buffer::_print::ha18f09678f6a208d,,
0x0000000000003920,0,core::ptr::real_drop_in_place::h53d4e2f4935c88b0,,
0x0000000000003e40,0,blog_os::hlt_loop::h5b94f5f061900d24,,
0x0000000000003ec0,0,__rg_alloc,,
0x0000000000003ee0,0,__rg_dealloc,,
0x0000000000003f70,0,<&mut T as core::fmt::Debug>::fmt::h62e98a79a2099249,,
0x0000000000004910,0,blog_os::memory::BootInfoFrameAllocator::init::ha46c7f7930574a9b,,
0x0000000000004c10,0,bootloader::bootinfo::memory_map::FrameRange::start_addr::ha52b456c8f2fed00,,
0x0000000000004c20,0,bootloader::bootinfo::memory_map::FrameRange::end_addr::h64f89a955fa6f12b,,
0x0000000000004c30,0,pc_keyboard::ConsumeState::extract_state::h3c792932d573bccb,,
0x0000000000004c40,0,pc_keyboard::KeyEvent::new::h847fe4ecfec09ada,,
0x0000000000005620,0,<pc_keyboard::layouts::Us104Key as pc_keyboard::KeyboardLayout>::map_keycode::h086cfe4634489f57,,
0x0000000000006000,0,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::advance_state::h82edcb4ab16e1946,,
0x0000000000006520,0,<u8 as cpuio::InOut>::port_in::h619050a08e0a463e,,
0x0000000000006530,0,<u8 as cpuio::InOut>::port_out::h417a21e0281154cf,,
0x0000000000006540,0,x86_64::structures::paging::page_table::PageTableEntry::is_unused::h96b68d9fd1ce1125,,
0x00000000000066e0,0,x86_64::structures::paging::page_table::PageTable::zero::h708e905e36120fe3,,
0x00000000000067a0,0,x86_64::structures::paging::mapper::offset_page_table::OffsetPageTable::new::h756f40845789b2fb,,
0x00000000000067b0,0,<x86_64::structures::paging::mapper::offset_page_table::PhysOffset as x86_64::structures::paging::mapper::mapped_page_table::PhysToVirt>::phys_to_virt::hf0b739d1b7f1fefa,,
0x00000000000067c0,0,x86_64::instructions::interrupts::are_enabled::h115b28ac8cdaf8d0,,
0x00000000000067d0,0,x86_64::instructions::segmentation::set_cs::h8db1f3d87e26bbfc,,
0x00000000000067e0,0,x86_64::structures::paging::page::Page::p1_index::h1ba1d44d5f85df48,,
0x00000000000067f0,0,x86_64::structures::tss::TaskStateSegment::new::h2b5720eddb31da49,,
0x0000000000006860,0,<x86_64::structures::paging::mapper::mapped_page_table::PageTableWalkError as core::convert::From<x86_64::structures::paging::page_table::FrameError>>::from::h2e8768d023fc9911,,
0x00000000000068c0,0,core::ptr::real_drop_in_place::h58ea7540a6825976,,
0x0000000000006e30,0,x86_64::registers::control::x86_64::<impl x86_64::registers::control::Cr2>::read::ha7a66de6ef1b382d,,
0x0000000000006f80,0,x86_64::structures::gdt::GlobalDescriptorTable::new::h6a90d71ec1053fa4,,
0x0000000000007060,0,x86_64::structures::gdt::Descriptor::kernel_code_segment::h60dbdb417e612e58,,
0x0000000000007180,0,core::ptr::real_drop_in_place::he11c55acefef7643,,
0x0000000000007230,0,x86_64::addr::VirtAddr::p2_index::he8d7ba2e466f645a,,
0x0000000000007240,0,x86_64::addr::VirtAddr::p3_index::h6fd6be9fb7a9d512,,
0x0000000000007260,0,x86_64::addr::VirtAddr::p4_index::h8e30cd5843319a7b,,
0x00000000000072f0,0,<x86_64::addr::VirtAddr as core::ops::arith::Add<u64>>::add::h1021270a854ffb65,,
0x0000000000007300,0,<x86_64::addr::VirtAddr as core::ops::arith::Add<usize>>::add::h30256fa16b8bf55c,,
0x0000000000007450,0,x86_64::addr::VirtAddr::as_u64::h3cb8b0bdde6d239b,,
0x00000000000074e0,0,x86_64::structures::paging::mapper::mapped_page_table::<impl core::convert::From<x86_64::structures::paging::mapper::mapped_page_table::PageTableCreateError> for x86_64::structures::paging::mapper::MapToError>::from::h67f4fbc18151e092,,
0x0000000000007750,0,ux::conversion::<impl core::convert::From<ux::u9> for u16>::from::h6bbe33370294a35d,,
0x0000000000007780,0,core::ptr::real_drop_in_place::h18854215c6a392fc,,
0x0000000000007790,0,linked_list_allocator::Heap::init::hc8d498572b81369a,,
0x00000000000077b0,0,<linked_list_allocator::LockedHeap as core::ops::deref::Deref>::deref::h7cec5746d0bea8db,,
0x0000000000007c60,0,<spin::once::Finish as core::ops::drop::Drop>::drop::hd3c4c1679cd06427,,
